loc,age,pathogen,med,ciL,ciU
Bholahat Upazila ,60+,CHIKV,0.0397099,0.001415481,0.195621625
Chapai Nawabganj Sadar Upazila ,0-9,JEV,0.0461564,0.006538119,0.14618335
Chapai Nawabganj Sadar Upazila ,Oct-19,JEV,0.0564167,0.011967265,0.14018455
Chapai Nawabganj Sadar Upazila ,20-29,JEV,0.2205995,0.109032275,0.36633
Chapai Nawabganj Sadar Upazila ,30-39,JEV,0.214213,0.106402325,0.349607925
Chapai Nawabganj Sadar Upazila ,40-49,JEV,0.325346,0.1836187,0.4901199
Chapai Nawabganj Sadar Upazila ,50-59,JEV,0.263935,0.1120263,0.461742875
Chapai Nawabganj Sadar Upazila ,60+,JEV,0.24561,0.108137275,0.4395853
Shibganj Upazila ,0-9,JEV,0.04101985,0.006118808,0.131739975
Shibganj Upazila ,Oct-19,JEV,0.09343595,0.040525685,0.1720881
Shibganj Upazila ,20-29,JEV,0.1393475,0.072984273,0.227351275
Shibganj Upazila ,30-39,JEV,0.256306,0.1390403,0.4061312
Shibganj Upazila ,40-49,JEV,0.310187,0.200879375,0.436994775
Shibganj Upazila ,50-59,JEV,0.2448175,0.1078732,0.426770475
Shibganj Upazila ,60+,JEV,0.278627,0.1361445,0.461680575
Gomastapur Upazila ,0-9,JEV,0.0351688,0.002140249,0.125917075
Gomastapur Upazila ,Oct-19,JEV,0.2271245,0.1564659,0.307802275
Gomastapur Upazila ,20-29,JEV,0.3068405,0.205392825,0.41886535
Gomastapur Upazila ,30-39,JEV,0.4590605,0.3326183,0.5917813
Gomastapur Upazila ,40-49,JEV,0.396085,0.2722966,0.526608575
Gomastapur Upazila ,50-59,JEV,0.476594,0.307133575,0.65133235
Gomastapur Upazila ,60+,JEV,0.548133,0.374614575,0.715519425
Nachole Upazila ,0-9,JEV,0.0368937,0.001483749,0.177913325
Nachole Upazila ,Oct-19,JEV,0.1110675,0.03396348,0.243648
Nachole Upazila ,20-29,JEV,0.261079,0.1464689,0.4068455
Nachole Upazila ,30-39,JEV,0.1654875,0.058519275,0.330705825
Nachole Upazila ,40-49,JEV,0.240747,0.101645725,0.432693625
Nachole Upazila ,50-59,JEV,0.3783305,0.182292675,0.603040325
Nachole Upazila ,60+,JEV,0.2394895,0.077162253,0.4831953
Bholahat Upazila ,0-9,JEV,0.0781046,0.012866273,0.2325975
Bholahat Upazila ,Oct-19,JEV,0.2867415,0.173046475,0.42132065
Bholahat Upazila ,20-29,JEV,0.24329,0.124312275,0.391724175
Bholahat Upazila ,30-39,JEV,0.3864675,0.210980725,0.566889475
Bholahat Upazila ,40-49,JEV,0.5243285,0.33088055,0.7107299
Bholahat Upazila ,50-59,JEV,0.415496,0.2116443,0.6237441
Bholahat Upazila ,60+,JEV,0.484068,0.236325575,0.72991525
